ID,MEDV
0,22.871861
1,24.779738
2,14.563732
3,18.639920
4,21.098975
5,21.549094
6,18.065180
7,21.434928
8,33.449653
9,17.202947
10,24.172024
11,20.003656
12,19.313805
13,15.768438
14,18.923480
15,26.544515
16,16.682895
17,24.737840
18,19.938207
19,20.418357
20,23.858586
21,36.649596
22,23.597186
23,11.303901
24,14.771564
25,12.094892
26,15.726458
27,19.517288
28,23.305615
29,15.872837
30,36.376095
31,18.703063
32,17.643640
33,18.991566
34,25.583902
35,20.841080
36,29.501241
37,30.729727
38,39.727595
39,25.826525
40,15.791301
41,29.726469
42,23.031773
43,16.067821
44,19.882070
45,24.338069
46,16.036144
47,23.094875
48,15.664576
49,14.948209
50,19.665531
51,33.386917
52,21.451390
53,5.095687
54,13.541942
55,16.303671
56,19.513295
57,13.078424
58,10.191810
59,17.258621
60,18.648005
61,19.965590
62,32.533945
63,23.471324
64,36.604921
65,32.251295
66,13.923396
67,21.393260
68,24.271575
69,15.097342
70,17.553863
71,17.255647
72,27.029801
73,13.866737
74,19.563813
75,15.699948
76,19.060258
77,31.169830
78,17.349419
79,33.387342
80,32.274371
81,43.229145
82,28.849016
83,28.986530
84,18.203157
85,32.330832
86,14.171191
87,27.901585
88,14.697677
89,19.450392
90,13.039550
91,19.282762
92,13.457778
93,21.981262
94,20.246919
95,23.304283
96,35.725254
97,9.358231
98,14.192122
99,26.218123
100,24.337433
101,15.794314
102,27.829383
103,35.523929
104,15.146910
