ID,MEDV
0,22.880963
1,24.843745
2,14.888234
3,18.449918
4,21.379968
5,21.664569
6,17.883179
7,21.517966
8,33.508231
9,17.337090
10,24.449546
11,19.972457
12,19.446419
13,15.646556
14,18.881671
15,26.524179
16,16.715802
17,24.810445
18,19.960664
19,20.383083
20,24.009763
21,36.437575
22,23.554538
23,11.283250
24,14.821195
25,12.486212
26,15.712760
27,19.694281
28,23.386545
29,15.805617
30,36.371166
31,18.543427
32,17.591401
33,18.875898
34,25.526787
35,20.781438
36,29.635156
37,30.664695
38,40.002059
39,25.657212
40,15.890356
41,29.806647
42,23.201094
43,15.955770
44,19.790200
45,24.395215
46,16.052441
47,23.112968
48,15.590905
49,14.861225
50,19.642569
51,33.302314
52,21.412692
53,5.122820
54,13.412532
55,16.186473
56,19.692914
57,13.276014
58,10.224101
59,17.209302
60,18.650083
61,19.772836
62,32.424471
63,23.447413
64,36.585839
65,32.361924
66,14.036891
67,21.240219
68,24.236558
69,15.058336
70,17.491467
71,17.354782
72,27.238933
73,14.207628
74,19.632887
75,15.674766
76,18.928493
77,31.301181
78,17.451627
79,33.509320
80,32.376006
81,43.082855
82,28.805686
83,28.996889
84,18.150680
85,32.295190
86,14.049394
87,28.194898
88,14.835456
89,19.427712
90,13.103160
91,19.318455
92,13.585562
93,22.015018
94,20.324433
95,23.504823
96,35.742030
97,9.341723
98,14.017008
99,26.503211
100,24.223624
101,15.775459
102,27.868110
103,35.370043
104,15.557644
